case_id,evidence_type,collection_date,status
20251030-0001,Digital,2023-07-29 18:24:15,In Analysis
20251030-0001,Digital,2023-08-05 18:24:15,In Analysis
20251030-0002,Document,2024-03-28 06:37:48,Collected
20251030-0002,Physical,2024-04-04 06:37:48,Analyzed
20251030-0002,Physical,2024-04-01 06:37:48,Collected
20251030-0003,Photographic,2024-02-19 15:01:43,In Analysis
20251030-0003,Physical,2024-02-17 15:01:43,Collected
20251030-0003,Photographic,2024-02-14 15:01:43,In Analysis
20251030-0003,Digital,2024-02-19 15:01:43,In Analysis
20251030-0007,Physical,2024-01-06 03:10:35,In Analysis
20251030-0007,Physical,2024-01-06 03:10:35,In Analysis
20251030-0007,Digital,2024-01-05 03:10:35,In Analysis
20251030-0009,Document,2023-06-29 18:30:57,In Analysis
20251030-0009,Photographic,2023-06-29 18:30:57,Collected
20251030-0009,Digital,2023-06-30 18:30:57,Analyzed
20251030-0010,Photographic,2023-03-20 06:51:33,Analyzed
20251030-0012,Document,2024-05-05 13:04:42,Collected
20251030-0013,Physical,2023-03-23 21:33:08,In Analysis
20251030-0013,Physical,2023-03-17 21:33:08,In Analysis
20251030-0013,Digital,2023-03-27 21:33:08,In Analysis
20251030-0013,Physical,2023-03-18 21:33:08,Collected
20251030-0016,Document,2023-03-29 09:19:15,Collected
20251030-0016,Photographic,2023-03-23 09:19:15,In Analysis
20251030-0016,Physical,2023-03-25 09:19:15,Analyzed
20251030-0016,Physical,2023-03-29 09:19:15,Analyzed
20251030-0017,Physical,2024-02-03 17:46:40,Analyzed
20251030-0017,Digital,2024-02-06 17:46:40,Analyzed
20251030-0017,Physical,2024-01-30 17:46:40,Collected
20251030-0018,Document,2024-04-04 20:14:49,Analyzed
20251030-0018,Physical,2024-04-09 20:14:49,Collected
20251030-0018,Physical,2024-04-09 20:14:49,In Analysis
20251030-0025,Physical,2023-08-02 19:26:13,In Analysis
20251030-0028,Photographic,2024-08-04 21:04:49,Analyzed
20251030-0028,Physical,2024-08-04 21:04:49,Collected
20251030-0028,Document,2024-08-05 21:04:49,Analyzed
20251030-0028,Document,2024-08-08 21:04:49,In Analysis
20251030-0031,Photographic,2024-01-23 04:17:17,Collected
20251030-0032,Document,2024-11-06 15:29:16,Collected
20251030-0032,Photographic,2024-11-04 15:29:16,In Analysis
20251030-0033,Photographic,2024-09-17 13:33:51,Collected
20251030-0033,Document,2024-09-17 13:33:51,In Analysis
20251030-0033,Document,2024-09-08 13:33:51,In Analysis
20251030-0036,Document,2023-07-16 04:06:10,Collected
20251030-0036,Document,2023-07-14 04:06:10,Analyzed
20251030-0037,Photographic,2023-03-15 19:45:26,Collected
20251030-0037,Photographic,2023-03-10 19:45:26,Analyzed
20251030-0037,Document,2023-03-11 19:45:26,Analyzed
20251030-0043,Document,2024-05-25 18:50:27,In Analysis
20251030-0044,Digital,2023-06-27 07:31:24,Collected
20251030-0044,Document,2023-06-27 07:31:24,Analyzed
20251030-0047,Photographic,2024-01-12 21:07:56,Analyzed
20251030-0047,Photographic,2024-01-17 21:07:56,In Analysis
20251030-0047,Photographic,2024-01-12 21:07:56,Collected
20251030-0049,Physical,2024-09-10 17:02:11,Collected
20251030-0050,Document,2023-08-15 18:32:45,Collected
20251030-0050,Photographic,2023-08-23 18:32:45,Collected
20251030-0050,Photographic,2023-08-22 18:32:45,In Analysis
20251030-0050,Document,2023-08-22 18:32:45,In Analysis
20251030-0051,Document,2024-06-02 17:43:10,Analyzed
20251030-0052,Physical,2024-05-05 08:42:17,Analyzed
20251030-0052,Document,2024-05-01 08:42:17,In Analysis
20251030-0052,Physical,2024-05-05 08:42:17,In Analysis
20251030-0054,Digital,2024-05-10 18:42:07,In Analysis
20251030-0054,Digital,2024-05-18 18:42:07,Collected
20251030-0054,Document,2024-05-12 18:42:07,Collected
20251030-0054,Digital,2024-05-09 18:42:07,Analyzed
20251030-0056,Photographic,2024-06-16 13:49:18,Analyzed
20251030-0057,Document,2023-02-23 18:57:10,Collected
20251030-0057,Physical,2023-02-23 18:57:10,Collected
20251030-0057,Digital,2023-02-17 18:57:10,Analyzed
20251030-0058,Document,2023-09-04 13:56:27,Collected
20251030-0058,Physical,2023-09-04 13:56:27,Collected
20251030-0060,Photographic,2023-11-24 19:07:38,Collected
20251030-0063,Digital,2024-09-11 04:40:13,Analyzed
20251030-0063,Document,2024-09-13 04:40:13,Analyzed
20251030-0065,Photographic,2023-09-24 05:37:10,Analyzed
20251030-0065,Document,2023-09-30 05:37:10,Collected
20251030-0065,Digital,2023-09-24 05:37:10,Collected
20251030-0066,Digital,2023-04-04 19:32:33,In Analysis
20251030-0066,Digital,2023-04-05 19:32:33,Analyzed
20251030-0068,Document,2024-07-14 21:26:28,Analyzed
20251030-0068,Document,2024-07-16 21:26:28,Collected
20251030-0068,Photographic,2024-07-08 21:26:28,Collected
20251030-0069,Photographic,2023-11-02 12:22:12,In Analysis
20251030-0070,Document,2024-11-07 20:34:16,Analyzed
20251030-0070,Photographic,2024-10-31 20:34:16,Collected
20251030-0070,Physical,2024-11-02 20:34:16,Analyzed
20251030-0075,Photographic,2023-11-12 10:18:59,Collected
20251030-0075,Document,2023-11-10 10:18:59,Analyzed
20251030-0075,Physical,2023-11-07 10:18:59,Collected
20251030-0075,Physical,2023-11-06 10:18:59,In Analysis
20251030-0076,Document,2023-03-08 04:20:54,Collected
20251030-0076,Physical,2023-03-08 04:20:54,In Analysis
20251030-0076,Physical,2023-03-15 04:20:54,Collected
20251030-0076,Digital,2023-03-16 04:20:54,Collected
20251030-0079,Physical,2024-09-04 15:50:28,In Analysis
20251030-0079,Photographic,2024-09-04 15:50:28,Collected
20251030-0079,Physical,2024-09-03 15:50:28,Analyzed
20251030-0080,Physical,2023-12-28 20:22:18,Collected
20251030-0082,Document,2023-02-26 07:50:15,Analyzed
20251030-0082,Physical,2023-03-01 07:50:15,Collected
20251030-0083,Digital,2023-10-21 13:00:25,Analyzed
20251030-0083,Digital,2023-10-23 13:00:25,Collected
20251030-0083,Physical,2023-10-29 13:00:25,In Analysis
20251030-0084,Digital,2024-10-22 19:15:24,Collected
20251030-0084,Photographic,2024-10-15 19:15:24,Analyzed
20251030-0084,Digital,2024-10-22 19:15:24,Collected
20251030-0085,Document,2024-08-16 19:57:09,Collected
20251030-0089,Document,2024-09-08 12:29:27,Analyzed
20251030-0090,Physical,2024-09-23 05:43:58,Collected
20251030-0090,Document,2024-09-27 05:43:58,In Analysis
20251030-0098,Physical,2023-08-17 19:37:53,In Analysis
20251030-0098,Photographic,2023-08-26 19:37:53,In Analysis
20251030-0098,Document,2023-08-19 19:37:53,Collected
20251030-0098,Document,2023-08-26 19:37:53,In Analysis
20251030-0099,Digital,2024-10-09 19:27:34,Analyzed
20251030-0099,Document,2024-10-08 19:27:34,Collected
20251030-0102,Photographic,2024-10-28 13:56:30,Analyzed
20251030-0102,Photographic,2024-10-30 13:56:30,Analyzed
20251030-0103,Photographic,2023-04-09 18:58:26,Analyzed
20251030-0103,Digital,2023-04-03 18:58:26,Analyzed
20251030-0103,Photographic,2023-04-07 18:58:26,Collected
20251030-0103,Photographic,2023-04-06 18:58:26,Collected
20251030-0110,Photographic,2024-12-19 14:50:01,In Analysis
20251030-0110,Digital,2024-12-15 14:50:01,Collected
20251030-0110,Photographic,2024-12-23 14:50:01,Collected
20251030-0110,Physical,2024-12-15 14:50:01,In Analysis
20251030-0117,Document,2023-01-27 09:05:32,Collected
20251030-0117,Digital,2023-01-25 09:05:32,In Analysis
20251030-0120,Digital,2023-02-27 16:30:27,Analyzed
20251030-0120,Digital,2023-02-21 16:30:27,In Analysis
20251030-0120,Document,2023-02-26 16:30:27,In Analysis
20251030-0120,Document,2023-02-20 16:30:27,Analyzed
20251030-0122,Document,2023-02-13 07:00:21,In Analysis
20251030-0127,Document,2024-06-17 02:36:39,Collected
20251030-0127,Physical,2024-06-23 02:36:39,Analyzed
20251030-0127,Digital,2024-06-22 02:36:39,Collected
20251030-0127,Physical,2024-06-18 02:36:39,Collected
20251030-0128,Document,2024-01-20 19:33:19,Collected
20251030-0128,Document,2024-01-22 19:33:19,Collected
20251030-0129,Photographic,2024-03-19 18:59:25,In Analysis
20251030-0129,Digital,2024-03-16 18:59:25,In Analysis
20251030-0132,Document,2023-05-07 04:26:26,Collected
20251030-0133,Photographic,2024-05-01 07:25:03,Analyzed
20251030-0133,Digital,2024-05-01 07:25:03,In Analysis
20251030-0133,Document,2024-04-29 07:25:03,Collected
20251030-0133,Document,2024-04-28 07:25:03,Collected
20251030-0134,Document,2023-07-27 17:21:38,Collected
20251030-0136,Photographic,2023-07-23 01:14:11,Analyzed
20251030-0136,Digital,2023-07-21 01:14:11,Collected
20251030-0136,Digital,2023-07-15 01:14:11,In Analysis
20251030-0136,Digital,2023-07-22 01:14:11,Collected
20251030-0138,Document,2023-11-03 15:11:31,Collected
20251030-0139,Document,2023-11-14 16:48:24,Collected
20251030-0139,Document,2023-11-08 16:48:24,Analyzed
20251030-0139,Document,2023-11-07 16:48:24,Analyzed
20251030-0139,Digital,2023-11-14 16:48:24,Collected
20251030-0140,Document,2024-07-29 15:39:02,Analyzed
20251030-0141,Physical,2024-05-26 23:43:54,In Analysis
20251030-0141,Document,2024-05-29 23:43:54,Collected
20251030-0141,Photographic,2024-05-25 23:43:54,In Analysis
20251030-0142,Photographic,2024-09-17 19:11:47,In Analysis
20251030-0142,Physical,2024-09-24 19:11:47,Analyzed
20251030-0142,Document,2024-09-23 19:11:47,Collected
20251030-0146,Photographic,2024-01-05 06:28:17,Analyzed
20251030-0147,Document,2023-10-27 18:28:13,In Analysis
20251030-0150,Physical,2023-03-10 16:34:23,In Analysis
20251030-0153,Photographic,2023-07-10 22:08:40,Collected
20251030-0153,Physical,2023-07-09 22:08:40,In Analysis
20251030-0153,Document,2023-07-06 22:08:40,In Analysis
20251030-0154,Photographic,2023-09-16 17:54:50,Collected
20251030-0154,Photographic,2023-09-15 17:54:50,In Analysis
20251030-0154,Digital,2023-09-15 17:54:50,Collected
20251030-0154,Physical,2023-09-20 17:54:50,Analyzed
20251030-0156,Document,2024-06-27 07:49:10,Collected
20251030-0156,Physical,2024-06-27 07:49:10,In Analysis
20251030-0156,Photographic,2024-07-01 07:49:10,Analyzed
20251030-0156,Document,2024-07-02 07:49:10,In Analysis
20251030-0158,Digital,2024-10-20 04:51:13,In Analysis
20251030-0158,Document,2024-10-16 04:51:13,In Analysis
20251030-0158,Document,2024-10-21 04:51:13,In Analysis
20251030-0158,Document,2024-10-19 04:51:13,Analyzed
20251030-0160,Document,2024-05-17 07:22:46,Collected
20251030-0160,Document,2024-05-14 07:22:46,Collected
20251030-0161,Photographic,2024-03-27 15:53:09,Collected
20251030-0161,Photographic,2024-04-03 15:53:09,In Analysis
20251030-0161,Digital,2024-03-26 15:53:09,Analyzed
20251030-0161,Photographic,2024-03-25 15:53:09,Analyzed
20251030-0165,Document,2023-12-18 21:36:44,In Analysis
20251030-0165,Document,2023-12-22 21:36:44,Collected
20251030-0166,Physical,2024-06-21 19:03:45,Collected
20251030-0168,Photographic,2023-12-06 06:26:10,In Analysis
20251030-0168,Digital,2023-11-30 06:26:10,Analyzed
20251030-0168,Photographic,2023-12-05 06:26:10,Collected
20251030-0169,Physical,2024-09-01 21:51:02,In Analysis
20251030-0172,Physical,2024-02-21 12:20:20,Collected
20251030-0173,Photographic,2023-08-07 19:16:03,Collected
20251030-0173,Document,2023-08-06 19:16:03,Collected
20251030-0173,Photographic,2023-08-09 19:16:03,In Analysis
20251030-0173,Digital,2023-08-10 19:16:03,Analyzed
20251030-0177,Document,2024-12-16 05:30:52,In Analysis
20251030-0178,Physical,2023-07-17 06:49:00,Analyzed
20251030-0178,Physical,2023-07-17 06:49:00,In Analysis
20251030-0178,Digital,2023-07-18 06:49:00,Collected
20251030-0179,Photographic,2024-06-11 22:51:37,Collected
20251030-0179,Digital,2024-06-14 22:51:37,Collected
20251030-0181,Document,2024-07-12 16:31:00,In Analysis
20251030-0181,Photographic,2024-07-13 16:31:00,Collected
20251030-0181,Digital,2024-07-17 16:31:00,In Analysis
20251030-0181,Document,2024-07-16 16:31:00,In Analysis
20251030-0182,Digital,2023-09-21 22:26:29,Collected
20251030-0182,Photographic,2023-09-15 22:26:29,Analyzed
20251030-0182,Digital,2023-09-23 22:26:29,Collected
20251030-0182,Digital,2023-09-14 22:26:29,In Analysis
20251030-0183,Digital,2024-02-06 09:17:32,In Analysis
20251030-0186,Physical,2023-05-08 12:56:06,Analyzed
20251030-0186,Digital,2023-05-07 12:56:06,Collected
20251030-0186,Digital,2023-05-05 12:56:06,Collected
20251030-0186,Physical,2023-05-15 12:56:06,In Analysis
20251030-0188,Photographic,2023-12-23 16:48:27,In Analysis
20251030-0189,Physical,2023-07-04 21:24:37,Collected
20251030-0189,Digital,2023-07-02 21:24:37,In Analysis
20251030-0189,Physical,2023-06-26 21:24:37,Collected
20251030-0190,Photographic,2024-12-10 19:47:22,Collected
20251030-0190,Physical,2024-12-17 19:47:22,Analyzed
20251030-0194,Document,2023-03-01 06:09:48,Collected
20251030-0194,Digital,2023-02-28 06:09:48,In Analysis
20251030-0194,Digital,2023-02-27 06:09:48,Analyzed
20251030-0195,Document,2024-10-21 12:15:45,Analyzed
20251030-0195,Physical,2024-10-19 12:15:45,Analyzed
20251030-0195,Document,2024-10-23 12:15:45,Collected
20251030-0195,Digital,2024-10-24 12:15:45,Analyzed
20251030-0199,Physical,2024-08-01 07:16:08,Collected
20251030-0199,Physical,2024-07-26 07:16:08,Collected
20251030-0199,Digital,2024-08-03 07:16:08,Collected
20251030-0199,Digital,2024-08-05 07:16:08,In Analysis
20251030-0203,Physical,2023-07-13 06:19:41,Collected
20251030-0203,Physical,2023-07-10 06:19:41,Collected
20251030-0203,Physical,2023-07-13 06:19:41,Analyzed
20251030-0203,Physical,2023-07-14 06:19:41,Collected
20251030-0206,Physical,2023-08-15 11:08:10,In Analysis
20251030-0206,Physical,2023-08-17 11:08:10,Collected
20251030-0206,Document,2023-08-13 11:08:10,Analyzed
20251030-0207,Document,2023-04-28 16:30:20,In Analysis
20251030-0207,Document,2023-04-27 16:30:20,Analyzed
20251030-0207,Physical,2023-05-05 16:30:20,Analyzed
20251030-0210,Photographic,2023-02-15 07:58:31,Analyzed
20251030-0212,Physical,2023-12-12 16:32:17,Collected
20251030-0212,Physical,2023-12-03 16:32:17,In Analysis
20251030-0215,Photographic,2023-02-05 10:34:36,Collected
20251030-0216,Digital,2023-05-20 05:36:28,Analyzed
20251030-0216,Physical,2023-05-26 05:36:28,In Analysis
20251030-0216,Physical,2023-05-21 05:36:28,Collected
20251030-0217,Physical,2023-12-10 09:29:02,In Analysis
20251030-0217,Photographic,2023-12-05 09:29:02,In Analysis
20251030-0217,Digital,2023-12-08 09:29:02,Analyzed
20251030-0219,Digital,2024-03-31 06:10:39,In Analysis
20251030-0219,Digital,2024-04-09 06:10:39,Analyzed
20251030-0219,Document,2024-04-10 06:10:39,Analyzed
20251030-0219,Photographic,2024-03-31 06:10:39,Analyzed
20251030-0220,Digital,2024-07-05 19:21:32,In Analysis
20251030-0223,Physical,2023-04-11 12:23:37,In Analysis
20251030-0223,Digital,2023-04-14 12:23:37,Analyzed
20251030-0223,Physical,2023-04-05 12:23:37,Collected
20251030-0223,Physical,2023-04-05 12:23:37,Collected
20251030-0226,Document,2024-11-20 12:33:53,Analyzed
20251030-0226,Digital,2024-11-26 12:33:53,Analyzed
20251030-0226,Document,2024-11-26 12:33:53,In Analysis
20251030-0226,Document,2024-11-17 12:33:53,Collected
20251030-0230,Digital,2024-02-09 06:00:48,In Analysis
20251030-0234,Digital,2023-05-24 06:59:14,Analyzed
20251030-0234,Document,2023-05-24 06:59:14,Analyzed
20251030-0236,Digital,2024-03-01 17:06:31,Collected
20251030-0236,Digital,2024-02-29 17:06:31,Collected
20251030-0236,Document,2024-03-06 17:06:31,Collected
20251030-0238,Physical,2023-07-12 16:21:39,Collected
20251030-0238,Digital,2023-07-02 16:21:39,In Analysis
20251030-0240,Document,2023-06-18 14:14:57,In Analysis
20251030-0241,Digital,2023-10-31 02:13:49,In Analysis
20251030-0241,Digital,2023-11-02 02:13:49,In Analysis
20251030-0241,Digital,2023-10-28 02:13:49,In Analysis
20251030-0243,Photographic,2023-12-16 19:50:29,Collected
20251030-0243,Document,2023-12-25 19:50:29,Analyzed
20251030-0243,Digital,2023-12-22 19:50:29,In Analysis
20251030-0243,Digital,2023-12-21 19:50:29,Analyzed
20251030-0245,Digital,2023-05-26 18:08:13,Collected
20251030-0245,Physical,2023-05-16 18:08:13,Analyzed
20251030-0247,Digital,2024-11-30 21:41:16,Collected
20251030-0247,Digital,2024-12-06 21:41:16,Collected
20251030-0247,Photographic,2024-12-06 21:41:16,Analyzed
20251030-0248,Photographic,2025-01-01 22:04:35,Analyzed
20251030-0248,Physical,2025-01-05 22:04:35,Analyzed
20251030-0254,Document,2023-03-10 16:36:31,In Analysis
20251030-0254,Physical,2023-03-07 16:36:31,In Analysis
20251030-0254,Physical,2023-03-14 16:36:31,In Analysis
20251030-0258,Digital,2023-06-25 08:10:40,Analyzed
20251030-0258,Photographic,2023-06-22 08:10:40,Analyzed
20251030-0258,Digital,2023-06-25 08:10:40,Analyzed
20251030-0258,Physical,2023-06-17 08:10:40,Analyzed
20251030-0261,Document,2023-05-03 20:23:29,In Analysis
20251030-0261,Document,2023-05-11 20:23:29,In Analysis
20251030-0261,Photographic,2023-05-06 20:23:29,Analyzed
20251030-0261,Physical,2023-05-11 20:23:29,Collected
20251030-0264,Digital,2024-01-25 04:36:35,In Analysis
20251030-0264,Document,2024-01-27 04:36:35,Analyzed
20251030-0264,Document,2024-01-24 04:36:35,In Analysis
20251030-0264,Physical,2024-01-21 04:36:35,In Analysis
20251030-0265,Document,2024-08-18 07:44:35,Analyzed
20251030-0265,Physical,2024-08-15 07:44:35,Analyzed
20251030-0270,Physical,2023-01-26 17:14:29,In Analysis
20251030-0270,Physical,2023-01-25 17:14:29,Collected
20251030-0270,Physical,2023-02-03 17:14:29,In Analysis
20251030-0270,Physical,2023-01-31 17:14:29,Collected
20251030-0277,Physical,2023-12-22 20:18:50,Collected
20251030-0279,Document,2024-12-07 15:28:14,In Analysis
20251030-0282,Photographic,2024-03-19 16:01:08,Collected
20251030-0285,Digital,2024-10-02 08:27:21,In Analysis
20251030-0285,Physical,2024-10-09 08:27:21,Collected
20251030-0285,Document,2024-10-03 08:27:21,In Analysis
20251030-0287,Physical,2023-03-18 20:49:01,Analyzed
20251030-0287,Document,2023-03-17 20:49:01,Analyzed
20251030-0287,Document,2023-03-21 20:49:01,Collected
20251030-0287,Physical,2023-03-21 20:49:01,Analyzed
20251030-0289,Photographic,2023-11-24 16:16:33,Collected
20251030-0289,Digital,2023-11-23 16:16:33,Analyzed
20251030-0289,Physical,2023-11-25 16:16:33,In Analysis
20251030-0289,Digital,2023-11-24 16:16:33,Analyzed
20251030-0290,Photographic,2024-01-12 07:13:28,In Analysis
20251030-0290,Physical,2024-01-18 07:13:28,Analyzed
20251030-0290,Document,2024-01-09 07:13:28,Analyzed
20251030-0291,Photographic,2024-06-30 03:33:29,Collected
20251030-0291,Digital,2024-06-26 03:33:29,Collected
20251030-0291,Document,2024-06-26 03:33:29,Analyzed
20251030-0291,Document,2024-06-27 03:33:29,Analyzed
20251030-0292,Digital,2023-07-30 16:30:02,Collected
20251030-0292,Digital,2023-08-06 16:30:02,Analyzed
20251030-0293,Photographic,2024-02-28 21:27:38,Collected
20251030-0293,Digital,2024-02-25 21:27:38,Analyzed
20251030-0293,Document,2024-03-04 21:27:38,Collected
20251030-0293,Document,2024-02-27 21:27:38,Collected
20251030-0294,Digital,2023-11-24 13:02:15,Collected
20251030-0294,Digital,2023-11-26 13:02:15,In Analysis
20251030-0296,Digital,2024-09-06 14:36:09,In Analysis
20251030-0296,Document,2024-09-01 14:36:09,Analyzed
20251030-0296,Document,2024-09-09 14:36:09,In Analysis
20251030-0298,Physical,2024-04-02 20:53:03,In Analysis
20251030-0301,Digital,2023-07-17 21:54:51,Analyzed
20251030-0302,Photographic,2024-10-17 19:41:37,In Analysis
20251030-0302,Document,2024-10-10 19:41:37,Collected
20251030-0303,Photographic,2023-03-20 21:05:19,Collected
20251030-0303,Document,2023-03-20 21:05:19,In Analysis
20251030-0303,Physical,2023-03-19 21:05:19,Collected
20251030-0304,Digital,2023-04-28 09:20:25,Collected
20251030-0304,Digital,2023-05-03 09:20:25,In Analysis
20251030-0304,Photographic,2023-05-04 09:20:25,Analyzed
20251030-0306,Digital,2023-03-20 20:47:37,Collected
20251030-0308,Physical,2024-04-12 18:39:46,Analyzed
20251030-0308,Photographic,2024-04-15 18:39:46,In Analysis
20251030-0308,Digital,2024-04-21 18:39:46,In Analysis
20251030-0309,Photographic,2024-10-04 02:07:14,Collected
20251030-0309,Physical,2024-10-09 02:07:14,Collected
20251030-0309,Physical,2024-10-04 02:07:14,In Analysis
20251030-0309,Physical,2024-10-06 02:07:14,In Analysis
20251030-0310,Digital,2024-07-05 19:08:51,In Analysis
20251030-0310,Digital,2024-07-06 19:08:51,Analyzed
20251030-0310,Digital,2024-07-05 19:08:51,Collected
20251030-0311,Digital,2023-02-21 12:58:37,Collected
20251030-0311,Digital,2023-03-01 12:58:37,Collected
20251030-0311,Digital,2023-02-27 12:58:37,In Analysis
20251030-0313,Physical,2024-04-18 17:52:40,Collected
20251030-0313,Digital,2024-04-20 17:52:40,Analyzed
20251030-0313,Photographic,2024-04-16 17:52:40,Analyzed
20251030-0313,Document,2024-04-24 17:52:40,Collected
20251030-0315,Physical,2023-06-24 06:15:17,Collected
20251030-0315,Document,2023-06-17 06:15:17,Collected
20251030-0316,Physical,2024-06-27 17:13:36,Collected
20251030-0316,Digital,2024-06-28 17:13:36,Analyzed
20251030-0316,Photographic,2024-06-28 17:13:36,Collected
20251030-0316,Document,2024-06-29 17:13:36,Collected
20251030-0318,Digital,2023-11-04 13:50:06,Analyzed
20251030-0318,Physical,2023-11-10 13:50:06,In Analysis
20251030-0319,Physical,2024-08-11 06:23:31,In Analysis
20251030-0319,Photographic,2024-08-05 06:23:31,In Analysis
20251030-0319,Physical,2024-08-06 06:23:31,Collected
20251030-0321,Digital,2023-01-28 11:42:39,Analyzed
20251030-0323,Document,2023-11-16 21:36:07,Collected
20251030-0323,Physical,2023-11-21 21:36:07,Collected
20251030-0324,Physical,2023-03-11 10:29:50,In Analysis
20251030-0324,Digital,2023-03-13 10:29:50,Analyzed
20251030-0324,Digital,2023-03-07 10:29:50,Collected
20251030-0325,Document,2023-03-28 08:05:14,Analyzed
20251030-0325,Physical,2023-03-29 08:05:14,Analyzed
20251030-0325,Physical,2023-03-26 08:05:14,Analyzed
20251030-0326,Digital,2023-01-30 15:33:32,Collected
20251030-0326,Physical,2023-02-02 15:33:32,Collected
20251030-0326,Document,2023-01-30 15:33:32,Analyzed
20251030-0326,Document,2023-02-04 15:33:32,Collected
20251030-0329,Physical,2024-11-17 22:21:20,Collected
20251030-0329,Document,2024-11-15 22:21:20,Analyzed
20251030-0329,Document,2024-11-09 22:21:20,Analyzed
20251030-0330,Photographic,2024-11-24 19:51:56,Collected
20251030-0330,Digital,2024-11-23 19:51:56,Collected
20251030-0330,Physical,2024-11-17 19:51:56,Collected
20251030-0330,Photographic,2024-11-26 19:51:56,Analyzed
20251030-0331,Digital,2024-02-22 19:46:30,Collected
20251030-0331,Photographic,2024-02-19 19:46:30,In Analysis
20251030-0331,Physical,2024-02-22 19:46:30,Collected
20251030-0332,Digital,2023-05-13 15:56:05,Collected
20251030-0332,Digital,2023-05-18 15:56:05,In Analysis
20251030-0336,Physical,2024-06-07 20:30:11,Analyzed
20251030-0336,Physical,2024-06-06 20:30:11,In Analysis
20251030-0336,Photographic,2024-05-31 20:30:11,Analyzed
20251030-0339,Document,2024-02-28 16:55:39,Analyzed
20251030-0339,Digital,2024-02-22 16:55:39,Collected
20251030-0343,Digital,2024-02-17 13:49:22,Collected
20251030-0343,Photographic,2024-02-22 13:49:22,Analyzed
20251030-0346,Physical,2024-02-01 18:40:41,In Analysis
20251030-0346,Photographic,2024-02-03 18:40:41,Collected
20251030-0346,Physical,2024-02-03 18:40:41,Collected
20251030-0347,Digital,2024-06-24 08:19:41,Collected
20251030-0348,Digital,2024-09-01 22:43:02,Analyzed
20251030-0348,Photographic,2024-09-06 22:43:02,In Analysis
20251030-0348,Document,2024-09-05 22:43:02,Collected
20251030-0348,Digital,2024-09-01 22:43:02,In Analysis
20251030-0349,Document,2023-08-25 08:08:31,In Analysis
20251030-0352,Physical,2024-06-23 15:20:17,Analyzed
20251030-0354,Document,2023-04-28 13:38:51,In Analysis
20251030-0355,Document,2024-09-28 08:23:53,In Analysis
20251030-0355,Document,2024-09-20 08:23:53,Analyzed
20251030-0355,Photographic,2024-09-23 08:23:53,Collected
20251030-0355,Digital,2024-09-24 08:23:53,Collected
20251030-0362,Photographic,2024-04-16 12:28:16,In Analysis
20251030-0362,Digital,2024-04-11 12:28:16,Analyzed
20251030-0363,Physical,2023-05-29 04:55:22,Collected
20251030-0363,Document,2023-06-01 04:55:22,Collected
20251030-0364,Document,2024-01-14 17:02:27,In Analysis
20251030-0364,Physical,2024-01-16 17:02:27,In Analysis
20251030-0364,Photographic,2024-01-19 17:02:27,Analyzed
20251030-0364,Document,2024-01-12 17:02:27,In Analysis
20251030-0365,Photographic,2023-04-26 06:28:07,Analyzed
20251030-0365,Physical,2023-04-20 06:28:07,In Analysis
20251030-0366,Digital,2024-08-13 07:36:07,Analyzed
20251030-0366,Physical,2024-08-16 07:36:07,Analyzed
