case_id,investigation_type,investigation_date,findings
20251030-0002,Evidence Collection,2024-04-19 06:37:48,Investigation findings for case 20251030-0002
20251030-0002,Initial,2024-04-24 06:37:48,Investigation findings for case 20251030-0002
20251030-0002,Follow-up,2024-04-05 06:37:48,Investigation findings for case 20251030-0002
20251030-0003,Evidence Collection,2024-02-24 15:01:43,Investigation findings for case 20251030-0003
20251030-0003,Evidence Collection,2024-02-15 15:01:43,Investigation findings for case 20251030-0003
20251030-0003,Interview,2024-02-21 15:01:43,Investigation findings for case 20251030-0003
20251030-0003,Initial,2024-03-12 15:01:43,Investigation findings for case 20251030-0003
20251030-0003,Evidence Collection,2024-03-04 15:01:43,Investigation findings for case 20251030-0003
20251030-0005,Evidence Collection,2024-09-23 19:36:40,Investigation findings for case 20251030-0005
20251030-0005,Evidence Collection,2024-09-20 19:36:40,Investigation findings for case 20251030-0005
20251030-0005,Follow-up,2024-09-27 19:36:40,Investigation findings for case 20251030-0005
20251030-0005,Initial,2024-09-07 19:36:40,Investigation findings for case 20251030-0005
20251030-0005,Evidence Collection,2024-10-06 19:36:40,Investigation findings for case 20251030-0005
20251030-0006,Evidence Collection,2024-07-12 17:28:04,Investigation findings for case 20251030-0006
20251030-0006,Evidence Collection,2024-07-13 17:28:04,Investigation findings for case 20251030-0006
20251030-0007,Evidence Collection,2024-01-25 03:10:35,Investigation findings for case 20251030-0007
20251030-0009,Follow-up,2023-06-30 18:30:57,Investigation findings for case 20251030-0009
20251030-0009,Interview,2023-07-14 18:30:57,Investigation findings for case 20251030-0009
20251030-0009,Evidence Collection,2023-07-19 18:30:57,Investigation findings for case 20251030-0009
20251030-0010,Initial,2023-04-07 06:51:33,Investigation findings for case 20251030-0010
20251030-0010,Initial,2023-03-18 06:51:33,Investigation findings for case 20251030-0010
20251030-0011,Follow-up,2023-12-04 18:39:47,Investigation findings for case 20251030-0011
20251030-0011,Initial,2023-12-12 18:39:47,Investigation findings for case 20251030-0011
20251030-0011,Evidence Collection,2023-12-20 18:39:47,Investigation findings for case 20251030-0011
20251030-0011,Evidence Collection,2023-12-14 18:39:47,Investigation findings for case 20251030-0011
20251030-0012,Initial,2024-05-30 13:04:42,Investigation findings for case 20251030-0012
20251030-0012,Interview,2024-06-04 13:04:42,Investigation findings for case 20251030-0012
20251030-0012,Interview,2024-05-21 13:04:42,Investigation findings for case 20251030-0012
20251030-0012,Interview,2024-05-24 13:04:42,Investigation findings for case 20251030-0012
20251030-0012,Initial,2024-05-14 13:04:42,Investigation findings for case 20251030-0012
20251030-0013,Interview,2023-03-26 21:33:08,Investigation findings for case 20251030-0013
20251030-0013,Evidence Collection,2023-03-19 21:33:08,Investigation findings for case 20251030-0013
20251030-0013,Follow-up,2023-04-15 21:33:08,Investigation findings for case 20251030-0013
20251030-0013,Follow-up,2023-04-04 21:33:08,Investigation findings for case 20251030-0013
20251030-0014,Interview,2024-04-04 18:55:29,Investigation findings for case 20251030-0014
20251030-0014,Initial,2024-03-18 18:55:29,Investigation findings for case 20251030-0014
20251030-0017,Follow-up,2024-02-27 17:46:40,Investigation findings for case 20251030-0017
20251030-0018,Follow-up,2024-04-07 20:14:49,Investigation findings for case 20251030-0018
20251030-0018,Evidence Collection,2024-04-27 20:14:49,Investigation findings for case 20251030-0018
20251030-0018,Follow-up,2024-04-07 20:14:49,Investigation findings for case 20251030-0018
20251030-0020,Follow-up,2023-11-02 02:23:27,Investigation findings for case 20251030-0020
