case_id,witness_type,reliability_rating
20251030-0001,Witness,Medium
20251030-0001,Witness,High
20251030-0001,Victim,Low
20251030-0002,Witness,Medium
20251030-0004,Victim,High
20251030-0006,Expert,Low
20251030-0006,Expert,Low
20251030-0006,Victim,Low
20251030-0006,Expert,High
20251030-0010,Expert,Medium
20251030-0010,Witness,Low
20251030-0010,Expert,Medium
20251030-0010,Expert,Low
20251030-0011,Witness,Low
20251030-0011,Victim,Low
20251030-0011,Expert,High
20251030-0013,Expert,Medium
20251030-0013,Expert,Low
20251030-0015,Victim,High
20251030-0016,Witness,Medium
20251030-0016,Expert,Medium
20251030-0016,Victim,Medium
20251030-0019,Witness,Low
20251030-0019,Victim,Low
20251030-0021,Victim,Low
20251030-0021,Witness,Medium
20251030-0021,Victim,High
20251030-0023,Witness,Low
20251030-0023,Witness,Medium
20251030-0023,Expert,High
20251030-0026,Expert,High
20251030-0026,Expert,High
20251030-0026,Victim,Low
20251030-0029,Victim,Medium
20251030-0029,Expert,High
20251030-0029,Witness,Medium
20251030-0033,Expert,Low
20251030-0034,Witness,Medium
20251030-0034,Expert,Medium
20251030-0034,Witness,High
20251030-0034,Victim,High
20251030-0039,Expert,Low
20251030-0039,Witness,Medium
20251030-0040,Expert,High
20251030-0040,Victim,Low
20251030-0041,Victim,Low
20251030-0042,Witness,Medium
20251030-0042,Witness,Medium
20251030-0043,Victim,Low
20251030-0043,Expert,Low
20251030-0043,Witness,High
20251030-0043,Witness,High
20251030-0044,Witness,Low
20251030-0046,Victim,Medium
20251030-0046,Victim,Low
20251030-0048,Witness,High
20251030-0049,Victim,Low
20251030-0049,Victim,Medium
20251030-0050,Victim,High
20251030-0050,Victim,High
20251030-0050,Witness,Medium
20251030-0051,Victim,Medium
20251030-0051,Expert,High
20251030-0051,Expert,High
20251030-0051,Witness,Medium
20251030-0052,Expert,Low
20251030-0053,Victim,Low
20251030-0054,Witness,Medium
20251030-0054,Victim,Low
20251030-0054,Witness,Medium
20251030-0054,Witness,Low
20251030-0055,Witness,High
20251030-0056,Expert,Medium
20251030-0056,Victim,Medium
20251030-0056,Witness,High
20251030-0056,Victim,High
20251030-0058,Victim,Low
20251030-0058,Victim,High
20251030-0058,Victim,Medium
20251030-0058,Victim,High
20251030-0059,Victim,High
20251030-0059,Victim,Low
20251030-0059,Expert,Low
20251030-0059,Expert,Medium
20251030-0060,Victim,Medium
20251030-0060,Witness,High
20251030-0061,Victim,High
20251030-0061,Witness,Medium
20251030-0061,Witness,High
20251030-0064,Victim,Low
20251030-0066,Witness,Low
20251030-0066,Victim,Medium
20251030-0069,Expert,Medium
20251030-0069,Victim,Medium
20251030-0070,Expert,Low
20251030-0070,Expert,Low
20251030-0071,Victim,Low
20251030-0071,Expert,Low
20251030-0071,Expert,Medium
20251030-0071,Witness,Low
20251030-0072,Victim,Medium
20251030-0074,Victim,Medium
20251030-0074,Victim,Medium
20251030-0077,Witness,High
20251030-0077,Expert,Medium
20251030-0077,Witness,Low
20251030-0078,Expert,Medium
20251030-0078,Expert,High
20251030-0079,Victim,Medium
20251030-0079,Victim,High
20251030-0081,Witness,Low
20251030-0081,Expert,High
20251030-0081,Witness,Medium
20251030-0081,Victim,Low
20251030-0084,Expert,High
20251030-0084,Expert,Low
20251030-0086,Victim,High
20251030-0086,Expert,Low
20251030-0086,Victim,High
20251030-0091,Victim,Medium
20251030-0092,Expert,Medium
20251030-0092,Victim,Low
20251030-0092,Witness,Medium
20251030-0093,Victim,Medium
20251030-0094,Victim,Low
20251030-0095,Expert,Low
20251030-0095,Expert,Medium
20251030-0095,Expert,Medium
20251030-0095,Witness,High
20251030-0096,Victim,Low
20251030-0098,Witness,High
20251030-0098,Expert,Medium
20251030-0099,Victim,High
20251030-0099,Victim,High
20251030-0099,Witness,Low
20251030-0100,Victim,High
20251030-0100,Victim,Medium
20251030-0100,Expert,Medium
20251030-0101,Victim,Medium
20251030-0104,Victim,Medium
20251030-0104,Victim,Low
20251030-0106,Witness,Medium
20251030-0106,Victim,Medium
20251030-0106,Witness,Medium
20251030-0107,Expert,High
20251030-0107,Victim,High
20251030-0108,Expert,Low
20251030-0109,Witness,High
20251030-0109,Witness,High
20251030-0110,Victim,High
20251030-0114,Victim,High
20251030-0115,Witness,High
20251030-0115,Expert,Medium
20251030-0115,Victim,Low
20251030-0116,Expert,Medium
20251030-0120,Witness,Medium
20251030-0120,Witness,Medium
20251030-0120,Witness,Low
20251030-0120,Victim,Low
20251030-0122,Witness,High
20251030-0122,Victim,High
20251030-0122,Expert,Low
20251030-0124,Expert,High
20251030-0124,Victim,Low
20251030-0124,Witness,High
20251030-0124,Victim,Medium
20251030-0126,Victim,Low
20251030-0127,Expert,High
20251030-0127,Victim,Medium
20251030-0127,Expert,Medium
20251030-0127,Victim,Medium
20251030-0129,Expert,High
20251030-0129,Victim,High
20251030-0129,Expert,High
20251030-0129,Witness,High
20251030-0130,Victim,Medium
20251030-0130,Victim,Medium
20251030-0131,Expert,High
20251030-0132,Expert,Low
20251030-0132,Victim,Medium
20251030-0132,Witness,Medium
20251030-0132,Witness,Low
20251030-0133,Expert,Low
20251030-0133,Victim,High
20251030-0133,Witness,High
20251030-0134,Victim,Medium
20251030-0134,Witness,Low
20251030-0134,Expert,Medium
20251030-0135,Expert,Low
20251030-0135,Expert,Low
20251030-0135,Witness,Medium
20251030-0137,Witness,Low
20251030-0140,Victim,Low
20251030-0140,Witness,High
20251030-0140,Victim,Low
20251030-0141,Witness,Medium
20251030-0141,Witness,Low
20251030-0141,Witness,High
20251030-0141,Victim,High
20251030-0145,Witness,Medium
20251030-0145,Witness,Low
20251030-0145,Expert,Low
20251030-0147,Witness,Low
20251030-0147,Expert,Medium
20251030-0147,Witness,Medium
20251030-0148,Victim,Low
20251030-0148,Expert,Low
20251030-0149,Witness,Medium
20251030-0150,Expert,Low
20251030-0150,Victim,Low
20251030-0150,Victim,Low
20251030-0150,Victim,Low
20251030-0151,Witness,Medium
20251030-0153,Victim,Medium
20251030-0154,Witness,Medium
20251030-0154,Expert,Low
20251030-0154,Victim,Medium
20251030-0154,Victim,Medium
20251030-0155,Expert,Low
20251030-0155,Witness,Low
20251030-0155,Witness,Low
20251030-0155,Victim,Low
20251030-0156,Victim,Medium
20251030-0156,Victim,Medium
20251030-0157,Witness,High
20251030-0157,Expert,Low
20251030-0158,Victim,Medium
20251030-0158,Expert,Low
20251030-0158,Witness,Low
20251030-0160,Witness,Medium
20251030-0160,Victim,Low
20251030-0160,Victim,High
20251030-0161,Victim,Medium
20251030-0161,Expert,Medium
20251030-0163,Expert,Low
20251030-0163,Expert,Medium
20251030-0163,Victim,Medium
20251030-0164,Victim,Medium
20251030-0164,Victim,Low
20251030-0164,Witness,Medium
20251030-0164,Expert,Medium
20251030-0165,Victim,Low
20251030-0165,Witness,High
20251030-0165,Expert,Low
20251030-0165,Expert,High
20251030-0167,Witness,Medium
20251030-0167,Victim,High
20251030-0167,Victim,Low
20251030-0168,Expert,Low
20251030-0168,Expert,Medium
20251030-0168,Witness,Medium
20251030-0168,Victim,Low
20251030-0170,Witness,Low
20251030-0170,Witness,Medium
20251030-0170,Expert,Medium
20251030-0171,Witness,Low
20251030-0172,Expert,High
20251030-0175,Witness,Low
20251030-0175,Expert,Medium
20251030-0177,Victim,High
20251030-0177,Witness,Medium
20251030-0177,Expert,Low
20251030-0179,Witness,Low
20251030-0179,Victim,Medium
20251030-0179,Expert,Low
20251030-0179,Victim,Medium
20251030-0182,Witness,Low
20251030-0185,Witness,High
20251030-0186,Victim,Medium
20251030-0186,Victim,Low
20251030-0187,Witness,High
20251030-0187,Victim,Low
20251030-0187,Witness,Low
20251030-0188,Witness,High
20251030-0191,Expert,Low
20251030-0191,Witness,High
20251030-0191,Victim,High
20251030-0194,Witness,Medium
20251030-0194,Expert,Medium
20251030-0194,Expert,High
20251030-0197,Expert,Medium
20251030-0199,Expert,Low
20251030-0200,Expert,High
20251030-0201,Victim,Low
20251030-0202,Expert,High
20251030-0202,Expert,Low
20251030-0203,Witness,Low
20251030-0203,Expert,Low
20251030-0203,Witness,Medium
20251030-0204,Victim,Low
20251030-0204,Expert,High
20251030-0204,Expert,High
20251030-0206,Victim,Low
20251030-0206,Witness,Medium
20251030-0206,Victim,Low
20251030-0206,Victim,Medium
20251030-0212,Witness,Medium
20251030-0212,Witness,Medium
20251030-0212,Witness,High
20251030-0214,Victim,Medium
20251030-0214,Expert,High
20251030-0214,Expert,Low
20251030-0215,Expert,High
20251030-0216,Victim,Medium
20251030-0216,Expert,High
20251030-0216,Victim,Low
20251030-0216,Witness,High
20251030-0217,Witness,Medium
20251030-0217,Victim,Low
20251030-0219,Expert,Low
20251030-0219,Expert,Medium
20251030-0219,Victim,High
20251030-0219,Victim,High
20251030-0220,Witness,Low
20251030-0221,Expert,High
20251030-0223,Witness,High
20251030-0223,Witness,Low
20251030-0223,Witness,Low
20251030-0223,Expert,Low
20251030-0225,Victim,High
20251030-0226,Victim,Medium
20251030-0226,Victim,High
20251030-0231,Victim,High
20251030-0232,Witness,High
20251030-0234,Witness,Medium
20251030-0234,Expert,High
20251030-0234,Victim,Low
20251030-0234,Witness,High
20251030-0237,Victim,Medium
20251030-0237,Witness,Low
20251030-0237,Victim,Medium
20251030-0247,Witness,High
20251030-0248,Expert,Low
20251030-0250,Victim,High
20251030-0250,Witness,Medium
20251030-0252,Victim,Medium
20251030-0252,Expert,Low
20251030-0254,Expert,Medium
